pdb_id,pH,temp
1DEW,6.5,298.0
1DF0,6.25,298.0
1DF1,5.3,277.0
1DF4,5.6,293.0
1DF5,7.5,293.0
1DFC,7.5,298.0
1DFK,7.0,277.0
1DFL,6.0,277.0
1DFM,5.2,293.0
1DFO,7.2,293.0
1DFQ,7.0,295.0
1DFU,6.0,292.0
1DFV,7.0,298.0
1DG1,5.75,298.0
1DG3,6.0,293.0
1DG6,7.5,277.0
1DGB,8.0,298.0
1DGC,5.25,277.0
1DGF,8.0,298.0
1DGG,8.0,298.0
1DGH,8.0,298.0
1DGJ,7.6,298.0
1DGK,6.5,298.0
1DGP,8.0,277.0
1DGR,6.8,277.0
1DGW,6.8,293.0
1DH3,5.6,298.0
1DI1,8.0,277.0
1DI2,5.4,298.0
1DI8,7.5,293.0
1DI9,7.5,293.0
1DIA,5.2,293.0
1DIB,5.2,293.0
1DIG,5.2,293.0
1DII,7.0,298.0
1DIQ,7.0,298.0
1DIW,7.0,295.0
1DIX,5.0,293.0
1DIY,6.5,293.0
1DIZ,7.5,298.0
1DJ0,6.5,298.0
1DJ1,6.0,291.0
1DJ3,5.6,298.0
1DJ5,6.0,291.0
1DJ7,5.1,297.0
1DJL,7.0,291.0
1DJN,6.5,295.0
1DJO,6.4,291.0
1DJP,6.4,291.0
1DJQ,6.5,295.0
1DJR,7.5,298.0
1DJU,7.5,293.0
1DK0,8.0,293.0
1DK1,6.2,295.0
1DK4,7.2,298.0
1DK5,5.0,288.0
1DK7,8.0,292.3
1DKD,8.0,291.0
1DKE,7.0,294.0
1DKH,6.5,293.0
1DKM,6.6,298.0
1DKN,6.6,298.0
1DKO,6.6,298.0
1DKP,6.6,298.0
1DKQ,6.6,298.0
1DKR,7.5,298.0
1DKU,8.0,293.0
1DKW,5.5,277.0
1DL2,5.6,293.0
1DL7,6.5,298.0
1DLE,6.0,298.0
1DLG,6.5,292.0
1DLI,7.8,298.0
1DLJ,7.8,298.0
1DLK,6.5,298.0
1DLL,7.0,295.0
1DLM,7.5,277.0
1DLQ,7.5,277.0
1DLT,7.5,277.0
1DLU,5.0,294.0
1DLV,5.0,294.0
1DLW,6.0,298.0
1DLY,5.5,277.0
1DM0,5.0,294.0
1DM1,7.0,293.0
1DM2,7.4,278.0
1DM3,5.0,294.0
1DM5,5.6,277.0
1DM6,6.5,280.0
1DM7,6.5,280.0
1DM8,6.5,280.0
1DMH,7.5,277.0
1DMI,6.5,280.0
1DMJ,6.5,280.0
1DMK,6.5,280.0
1DML,7.5,295.0
1DMT,7.5,298.0
1DMW,6.8,277.0
1DN0,7.5,277.0
1DN2,6.0,298.0
1DNL,7.0,298.0
1DNU,5.5,295.0
1DNW,5.5,295.0
1DO0,6.5,291.0
1DO2,6.5,291.0
1DO5,6.5,298.0
1DO6,8.0,295.0
1DO8,6.5,277.0
1DOA,7.4,291.0
1DOF,5.0,291.0
1DOH,7.0,277.0
1DOJ,6.5,295.0
1DOW,7.0,295.0
1DOZ,7.4,298.0
1DP0,6.5,288.0
1DP2,7.0,293.0
1DP5,5.6,298.0
1DP6,7.5,277.0
1DP7,6.5,277.0
1DP8,7.5,277.0
1DP9,7.5,277.0
1DPF,5.5,277.0
1DPJ,5.6,298.0
1DPW,8.0,293.0
1DQ0,7.0,293.0
1DQ1,7.0,293.0
1DQ2,5.0,277.0
1DQ3,6.5,293.0
1DQ4,5.0,277.0
1DQ5,5.0,277.0
1DQ6,7.0,277.0
1DQG,6.5,277.0
1DQI,8.0,295.0
1DQK,8.0,295.0
1DQL,7.0,295.0
1DQM,7.5,298.0
1DQN,7.5,296.0
1DQO,6.5,277.0
1DQP,7.5,296.0
1DQQ,7.5,298.0
1DQR,6.5,298.0
1DQT,6.5,291.0
1DQU,7.5,290.0
1DQV,6.5,293.0
1DQW,7.0,278.0
1DR9,7.5,293.0
1DRG,6.1,293.0
1DRM,7.5,277.0
1DS2,7.1,298.0
1DS4,6.0,291.0
1DS5,8.0,292.0
1DS6,6.0,291.0
1DS7,7.0,277.0
1DSE,6.0,277.0
1DSG,5.2,288.0
1DSO,6.0,288.0
1DSP,7.0,288.0
1DSS,6.1,290.0
1DSY,6.5,293.0
1DSZ,7.5,281.0
1DT0,8.0,298.0
1DT1,6.3,297.0
1DT2,8.0,289.0
1DT6,6.5,297.0
1DT9,7.5,293.0
1DTD,7.5,298.0
1DTG,6.1,277.0
1DTL,7.2,277.0
1DTQ,5.0,277.0
1DTT,5.0,277.0
1DTU,7.1,298.0
1DTW,7.5,293.0
1DTZ,8.0,277.0
1DU0,7.0,295.0
1DU5,6.5,298.0
1DUA,6.5,289.0
1DUE,6.5,289.0
1DUR,7.5,277.0
1DUS,5.13,294.0
1DUV,5.5,291.0
1DUW,7.5,291.0
1DUX,5.6,293.0
1DUY,6.5,298.0
1DUZ,6.5,298.0
1DV1,7.0,298.0
1DV2,7.5,298.0
1DV7,6.5,298.0
1DV8,7.0,298.0
1DVA,5.5,292.0
1DVB,7.5,277.0
1DVJ,6.5,298.0
1DVK,6.0,290.0
1DVM,6.1,293.0
1DVN,7.9,293.0
1DVO,7.0,277.0
1DVP,7.4,277.0
1DVQ,7.4,298.0
1DVS,7.4,298.0
1DVT,7.4,293.0
1DVU,7.4,293.0
1DVX,7.4,293.0
1DVY,7.4,293.0
1DVZ,7.4,293.0
1DW0,7.0,298.0
1DW1,7.0,298.0
1DW2,7.0,298.0
1DW3,7.0,298.0
1DX6,5.8,277.0
1DXY,7.0,277.0
1DY7,7.0,293.0
1DY8,5.1,277.0
1DYQ,7.8,277.0
1DZ4,7.4,275.0
1DZ6,7.4,275.0
1DZ8,7.4,275.0
1DZ9,7.4,275.0
1DZJ,7.8,293.0
1DZM,7.8,293.0
1E1A,6.5,289.0
1E1Z,5.4,291.0
1E2D,8.0,293.0
1E2E,8.0,293.0
1E2F,8.0,293.0
1E2G,8.0,293.0
1E2Q,8.0,293.0
1E2S,5.4,291.0
1E33,5.4,291.0
1E3C,5.4,291.0
1E3X,7.5,291.0
1E3Z,7.5,291.0
1E40,7.5,291.0
1E5K,5.5,277.0
1E5R,6.0,294.0
1E5S,6.0,294.0
1E66,5.6,277.0
1E6E,7.4,277.0
1E6J,7.5,277.0
1E6K,7.0,277.0
1E6L,7.0,277.0
1E6M,7.0,277.0
1E6O,7.8,295.0
1E6U,6.5,294.0
1E7Q,6.5,294.0
1E7R,6.5,294.0
1E7S,6.5,294.0
1E92,5.4,293.0
1E93,7.3,277.0
1E98,8.0,293.0
1E99,8.0,293.0
1E9A,8.0,293.0
1E9B,8.0,293.0
1E9C,8.0,293.0
1E9D,8.0,293.0
1E9E,8.0,293.0
1E9F,8.0,293.0
1E9M,7.6,288.0
1EA5,5.8,277.0
1EAR,7.0,294.0
1EB0,7.0,294.0
1EBL,7.5,298.0
1EBM,6.5,277.0
1EBU,6.5,295.0
1EBV,6.7,291.0
1EBW,5.5,277.0
1EBY,5.5,277.0
1EBZ,5.5,277.0
1EC0,5.5,277.0
1EC1,5.5,277.0
1EC2,5.5,277.0
1EC3,5.5,277.0
1EC6,6.5,293.0
